station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,anomaly,anomaly_score,is_anomaly,PC1,PC2
OOA,2026-01-08 20:55,51.6,51.0,97.81,150.0,10.0,0.29,29.34,M,1.0,M,BKN,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,51.6,KOOA 082055Z AUTO 15010KT 1SM BKN011 11/11 A2934 RMK AO2 P0029 60065 T01090105,M,-1,-0.7227044664990229,1,8.647001770514231,-1.94473154321761
OOA,2026-01-08 19:55,50.0,49.0,96.34,100.0,13.0,0.22,29.38,M,1.25,M,VV ,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,50.0,KOOA 081955Z AUTO 10013KT 1 1/4SM VV007 10/10 A2938 RMK AO2 P0022 T01000095,M,-1,-0.720305769062728,1,7.544458567380531,-1.5375528424736278
OOA,2026-01-08 20:15,50.0,49.3,97.43,110.0,14.0,0.15,29.36,M,1.0,21.00,VV ,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,50.0,KOOA 082015Z AUTO 11014G21KT 1SM VV007 10/10 A2936 RMK AO2 P0015 T01000096,M,-1,-0.7198198566734457,1,6.778365602846668,-1.0840832899894328
OOA,2026-01-08 20:35,51.0,50.0,96.36,120.0,16.0,0.2,29.34,M,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.0,KOOA 082035Z AUTO 12016KT 2 1/2SM 11/10 A2934 RMK AO2 SKY OBSCURED P0020 T01050100,M,-1,-0.7195836656346526,1,7.278274965809611,-0.8269459928358237
OOA,2026-01-08 19:35,49.5,48.7,97.06,100.0,11.0,0.11,29.42,M,1.75,M,SCT,BKN,BKN,M,2300.00,3000.00,4100.00,M,M,M,M,M,M,M,M,44.58,KOOA 081935Z AUTO 10011KT 1 3/4SM SCT023 BKN030 BKN041 10/09 A2942 RMK AO2 P0011 T00970093,M,-1,-0.6918648652684426,1,6.068794160902949,-1.2693404303057354
OOA,2026-01-08 18:55,49.5,48.4,95.97,120.0,8.0,0.13,29.49,M,2.0,M,SCT,BKN,OVC,M,2700.00,3200.00,4000.00,M,M,M,M,M,M,M,M,45.67,KOOA 081855Z AUTO 12008KT 2SM SCT027 BKN032 OVC040 10/09 A2949 RMK AO2 P0013 T00970091,M,-1,-0.6887040426433907,1,6.130293763970148,-1.600324247342783
OOA,2026-01-08 22:55,58.0,57.0,96.47,190.0,16.0,0.01,29.27,M,7.0,24.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,58.0,KOOA 082255Z AUTO 19016G24KT 7SM CLR 14/14 A2927 RMK AO2 P0001 T01440139,M,-1,-0.6750076755968468,1,5.019228663628203,1.013478883625522
OOA,2026-01-08 18:35,49.5,48.0,94.54,110.0,5.0,0.07,29.5,M,2.5,M,SCT,BKN,OVC,M,3700.00,4600.00,6500.00,M,M,M,M,M,M,M,M,47.18,KOOA 081835Z AUTO 11005KT 2 1/2SM SCT037 BKN046 OVC065 10/09 A2950 RMK AO2 P0007 T00970088,M,-1,-0.6688399359873071,1,5.287509314912886,-1.663828240326777
OOA,2026-01-08 22:35,57.2,56.3,96.8,160.0,15.0,0.01,29.26,M,5.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.2,KOOA 082235Z AUTO 16015KT 5SM CLR 14/14 A2926 RMK AO2 P0001 T01400135,M,-1,-0.6679006049198902,1,5.233530821743368,0.5269961645429789
OOA,2026-01-08 19:15,49.3,48.6,97.42,110.0,9.0,0.03,29.45,M,2.5,M,BKN,BKN,OVC,M,2700.00,3400.00,4000.00,M,M,M,M,M,M,M,M,45.03,KOOA 081915Z AUTO 11009KT 2 1/2SM BKN027 BKN034 OVC040 10/09 A2945 RMK AO2 P0003 T00960092,M,-1,-0.657527915186018,1,4.953877812583955,-1.0426198969647174
OOA,2026-01-09 01:15,58.5,57.4,96.13,200.0,22.0,0.0,29.26,M,10.0,27.00,SCT,SCT,M,M,7000.00,8500.00,M,M,M,M,M,M,M,M,M,58.5,KOOA 090115Z AUTO 20022G27KT 10SM SCT070 SCT085 15/14 A2926 RMK AO2 T01470141,M,-1,-0.6560624437510421,1,4.575479238633633,2.130947290941839
OOA,2026-01-08 22:15,56.0,55.0,96.44,170.0,12.0,0.01,29.28,M,4.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,56.0,KOOA 082215Z AUTO 17012KT 4SM CLR 13/13 A2928 RMK AO2 P0001 T01330128,M,-1,-0.6558035402168921,1,5.222389653239842,0.10125007327955972
OOA,2026-01-09 01:55,58.6,52.0,78.68,230.0,29.0,0.0,29.27,M,10.0,36.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,58.6,KOOA 090155Z AUTO 23029G36KT 10SM CLR 15/11 A2927 RMK AO2 T01480111,M,-1,-0.6504398554340995,1,3.912763498523365,3.4255638201054293
OOA,2026-01-08 18:15,49.5,47.3,92.09,130.0,5.0,0.03,29.53,M,2.0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,47.18,KOOA 081815Z AUTO 13005KT 2SM 10/09 A2953 RMK AO2 SKY OBSCURED P0003 T00970085,M,-1,-0.6481078103306558,1,4.709393269882514,-1.3972113377184436
OOA,2026-01-09 00:55,58.0,57.2,97.16,190.0,16.0,0.0,29.26,M,7.0,M,SCT,SCT,M,M,7000.00,8000.00,M,M,M,M,M,M,M,M,M,58.0,KOOA 090055Z AUTO 19016KT 7SM SCT070 SCT080 15/14 A2926 RMK AO2 T01450140,M,-1,-0.6468314270640954,1,4.937593513284299,1.0514121357173558
OOA,2026-01-08 23:35,58.0,57.0,96.47,180.0,15.0,0.0,29.26,M,7.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,58.0,KOOA 082335Z AUTO 18015KT 7SM CLR 14/14 A2926 RMK AO2 T01440139,M,-1,-0.6401690280395916,1,4.921508046559333,0.8940072078887671
OOA,2026-01-24 17:55,2.5,-5.8,67.52,0.0,0.0,0.0,30.61,M,3.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2.5,KOOA 241755Z AUTO 00000KT 3SM CLR M16/M21 A3061 RMK AO2 T11641210 11164 21196,M,-1,-0.6399874879985691,1,-1.5921175248532793,-3.4761940674869187
