station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,anomaly,anomaly_score,is_anomaly,PC1,PC2
OOA,2026-01-01 00:15,38.7,35.0,86.41,290.0,3.0,0.0,29.93,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,36.35,KOOA 010015Z AUTO 29003KT 10SM CLR 04/02 A2993 RMK AO2 T00370017,M,1,-0.4369844433900553,0,1.763032645590738,-0.19718012736143745
OOA,2026-01-01 00:35,38.0,34.7,87.76,300.0,4.0,0.0,29.94,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,34.43,KOOA 010035Z AUTO 30004KT 10SM CLR 03/02 A2994 RMK AO2 T00330015,M,1,-0.432820979499482,0,1.73686046032261,-0.07094263259472623
OOA,2026-01-01 00:55,36.5,34.0,90.54,320.0,4.0,0.0,29.94,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.68,KOOA 010055Z AUTO 32004KT 10SM CLR 03/01 A2994 RMK AO2 T00250012,M,1,-0.4362767162228465,0,1.7205792093549819,-0.046902488875246104
OOA,2026-01-01 01:15,37.0,34.7,91.29,320.0,4.0,0.0,29.94,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.26,KOOA 010115Z AUTO 32004KT 10SM CLR 03/02 A2994 RMK AO2 T00270015,M,1,-0.4431940364264612,0,1.7802075039184804,-0.050764023794956314
OOA,2026-01-01 01:35,39.4,36.0,87.49,350.0,10.0,0.0,29.96,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.25,KOOA 010135Z AUTO 35010KT 10SM CLR 04/02 A2996 RMK AO2 T00410022,M,1,-0.4480586889654231,0,1.7471113201013688,0.9191005409909567
OOA,2026-01-01 01:55,39.2,35.6,86.79,350.0,14.0,0.0,29.96,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.44,KOOA 010155Z AUTO 35014KT 10SM CLR 04/02 A2996 RMK AO2 T00400020,M,1,-0.4637057642998282,0,1.6959305676405745,1.3985437093364181
OOA,2026-01-01 02:15,38.0,34.7,87.76,360.0,10.0,0.0,29.97,M,10.0,M,SCT,SCT,M,M,7000.00,8000.00,M,M,M,M,M,M,M,M,M,30.49,KOOA 010215Z AUTO 36010KT 10SM SCT070 SCT080 03/02 A2997 RMK AO2 T00330015,M,1,-0.46089398067944454,0,1.6393951117317334,0.9335893850464073
OOA,2026-01-01 02:35,37.6,34.0,86.7,360.0,11.0,0.0,29.97,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.54,KOOA 010235Z AUTO 36011KT 10SM CLR 03/01 A2997 RMK AO2 T00310012,M,1,-0.4568017043550166,0,1.5722696849290227,1.0627127750138687
OOA,2026-01-01 02:55,37.0,33.8,88.06,360.0,11.0,0.0,29.97,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.79,KOOA 010255Z AUTO 36011KT 10SM CLR 03/01 A2997 RMK AO2 T00280010,M,1,-0.4562297792044875,0,1.5780329438130523,1.0259269605086543
OOA,2026-01-01 03:15,36.0,32.5,86.96,10.0,17.0,0.0,29.98,M,10.0,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,25.32,KOOA 010315Z AUTO 01017G22KT 10SM CLR 02/00 A2998 RMK AO2 T00230003,M,1,-0.5052557437142499,0,1.5860586793837186,-0.10632193087826868
