station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
OOA,2026-01-01 00:15,38.70,35.00,86.41,290.00,3.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,36.35,KOOA 010015Z AUTO 29003KT 10SM CLR 04/02 A2993 RMK AO2 T00370017,M
OOA,2026-01-01 00:35,38.00,34.70,87.76,300.00,4.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,34.43,KOOA 010035Z AUTO 30004KT 10SM CLR 03/02 A2994 RMK AO2 T00330015,M
OOA,2026-01-01 00:55,36.50,34.00,90.54,320.00,4.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.68,KOOA 010055Z AUTO 32004KT 10SM CLR 03/01 A2994 RMK AO2 T00250012,M
OOA,2026-01-01 01:15,37.00,34.70,91.29,320.00,4.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.26,KOOA 010115Z AUTO 32004KT 10SM CLR 03/02 A2994 RMK AO2 T00270015,M
OOA,2026-01-01 01:35,39.40,36.00,87.49,350.00,10.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.25,KOOA 010135Z AUTO 35010KT 10SM CLR 04/02 A2996 RMK AO2 T00410022,M
OOA,2026-01-01 01:55,39.20,35.60,86.79,350.00,14.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.44,KOOA 010155Z AUTO 35014KT 10SM CLR 04/02 A2996 RMK AO2 T00400020,M
OOA,2026-01-01 02:15,38.00,34.70,87.76,360.00,10.00,0.00,29.97,M,10.00,M,SCT,SCT,M,M,7000.00,8000.00,M,M,M,M,M,M,M,M,M,30.49,KOOA 010215Z AUTO 36010KT 10SM SCT070 SCT080 03/02 A2997 RMK AO2 T00330015,M
OOA,2026-01-01 02:35,37.60,34.00,86.70,360.00,11.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.54,KOOA 010235Z AUTO 36011KT 10SM CLR 03/01 A2997 RMK AO2 T00310012,M
OOA,2026-01-01 02:55,37.00,33.80,88.06,360.00,11.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.79,KOOA 010255Z AUTO 36011KT 10SM CLR 03/01 A2997 RMK AO2 T00280010,M
OOA,2026-01-01 03:15,36.00,32.50,86.96,10.00,17.00,0.00,29.98,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,25.32,KOOA 010315Z AUTO 01017G22KT 10SM CLR 02/00 A2998 RMK AO2 T00230003,M
OOA,2026-01-01 03:35,35.40,32.00,87.27,360.00,12.00,0.00,29.98,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.33,KOOA 010335Z AUTO 36012G16KT 10SM CLR 02/00 A2998 RMK AO2 T00190000,M
OOA,2026-01-01 03:55,35.00,31.30,86.20,10.00,11.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.26,KOOA 010355Z AUTO 01011KT 10SM CLR 02/00 A2999 RMK AO2 T00161004,M
OOA,2026-01-01 04:15,34.30,31.00,87.57,10.00,13.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.51,KOOA 010415Z AUTO 01013KT 10SM CLR 01/M01 A3000 RMK AO2 T00131006,M
OOA,2026-01-01 04:35,33.80,30.40,87.19,360.00,14.00,0.00,30.01,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,23.48,KOOA 010435Z AUTO 36014G17KT 10SM CLR 01/M01 A3001 RMK AO2 T00101009,M
OOA,2026-01-01 04:55,33.00,28.60,83.65,360.00,14.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.45,KOOA 010455Z AUTO 36014KT 10SM CLR 01/M02 A3002 RMK AO2 T00051019,M
OOA,2026-01-01 05:15,32.50,28.60,85.35,360.00,10.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,23.60,KOOA 010515Z AUTO 36010KT 10SM CLR 00/M02 A3002 RMK AO2 T00031019,M
OOA,2026-01-01 05:35,32.00,29.00,88.53,360.00,11.00,0.00,30.03,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.47,KOOA 010535Z AUTO 36011G15KT 10SM CLR 00/M02 A3003 RMK AO2 T00011017,M
OOA,2026-01-01 05:55,32.00,27.70,83.93,360.00,12.00,0.00,30.04,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.00,KOOA 010555Z AUTO 36012G16KT 10SM CLR 00/M02 A3004 RMK AO2 T00001024 10042 20000 400800000,M
OOA,2026-01-01 06:15,31.00,26.00,81.46,360.00,13.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,20.29,KOOA 010615Z AUTO 36013KT 10SM CLR M01/M03 A3004 RMK AO2 T10061034,M
OOA,2026-01-01 06:35,29.50,24.80,82.37,20.00,14.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,17.94,KOOA 010635Z AUTO 02014KT 10SM CLR M01/M04 A3004 RMK AO2 T10141040,M
OOA,2026-01-01 06:55,28.00,23.70,83.65,20.00,15.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.59,KOOA 010655Z AUTO 02015KT 10SM CLR M02/M05 A3005 RMK AO2 T10221046,M
OOA,2026-01-01 07:15,26.80,22.30,82.87,20.00,14.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.46,KOOA 010715Z AUTO 02014KT 10SM CLR M03/M05 A3005 RMK AO2 T10291054,M
OOA,2026-01-01 07:35,25.70,20.70,81.05,10.00,14.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.04,KOOA 010735Z AUTO 01014KT 10SM CLR M03/M06 A3005 RMK AO2 T10351063,M
OOA,2026-01-01 07:55,24.80,19.80,80.98,10.00,11.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.37,KOOA 010755Z AUTO 01011KT 10SM CLR M04/M07 A3007 RMK AO2 T10401068,M
OOA,2026-01-01 08:15,24.00,19.20,81.61,20.00,11.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.36,KOOA 010815Z AUTO 02011KT 10SM CLR M04/M07 A3007 RMK AO2 T10451071,M
OOA,2026-01-01 08:35,23.00,18.00,80.83,30.00,8.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.03,KOOA 010835Z AUTO 03008KT 10SM CLR M05/M08 A3007 RMK AO2 T10501077,M
OOA,2026-01-01 08:55,22.30,17.60,81.83,20.00,10.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.80,KOOA 010855Z AUTO 02010KT 10SM CLR M05/M08 A3007 RMK AO2 T10541080,M
OOA,2026-01-01 09:15,21.70,17.20,82.49,30.00,8.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.43,KOOA 010915Z AUTO 03008KT 10SM CLR M06/M08 A3006 RMK AO2 T10571082,M
OOA,2026-01-01 09:35,21.40,17.60,85.00,20.00,10.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,9.68,KOOA 010935Z AUTO 02010KT 10SM CLR M06/M08 A3006 RMK AO2 T10591080,M
OOA,2026-01-01 09:55,21.00,17.00,84.25,20.00,8.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.56,KOOA 010955Z AUTO 02008KT 10SM CLR M06/M08 A3007 RMK AO2 T10611084,M
OOA,2026-01-01 10:15,21.00,17.00,84.25,30.00,7.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.37,KOOA 011015Z AUTO 03007KT 10SM CLR M06/M08 A3006 RMK AO2 T10621084,M
OOA,2026-01-01 10:35,20.30,16.50,84.93,30.00,6.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.44,KOOA 011035Z AUTO 03006KT 10SM CLR M06/M09 A3006 RMK AO2 T10651086,M
OOA,2026-01-01 10:55,20.30,16.70,85.67,20.00,5.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.50,KOOA 011055Z AUTO 02005KT 10SM CLR M06/M08 A3006 RMK AO2 T10651085,M
OOA,2026-01-01 11:15,20.00,16.30,85.28,40.00,5.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.14,KOOA 011115Z AUTO 04005KT 10SM CLR M07/M09 A3006 RMK AO2 T10661087,M
OOA,2026-01-01 11:35,20.00,16.00,84.18,30.00,7.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.15,KOOA 011135Z AUTO 03007KT 10SM CLR M07/M09 A3006 RMK AO2 T10671088,M
OOA,2026-01-01 11:55,19.40,15.80,85.61,10.00,6.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.36,KOOA 011155Z AUTO 01006KT 10SM CLR M07/M09 A3007 RMK AO2 T10701090 11001 21070,M
OOA,2026-01-01 12:15,19.20,15.60,85.60,20.00,8.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,8.35,KOOA 011215Z AUTO 02008KT 10SM CLR M07/M09 A3007 RMK AO2 T10711091,M
