station,valid,fx_valid,raw,is_tempo,fx_valid_end,sknt,drct,gust,visibility,presentwx,skyc,skyl,ws_level,ws_drct,ws_sknt,product_id,ftype
KACY,2026-01-01 02:47,2026-01-01 02:47,0103/0124 22009KT P6SM SCT045 OVC070,False,,9.0,220.0,0.0,6.01,[],"['SCT', 'OVC']","[4500, 7000]",,,,202601010247-KPHI-FTUS41-TAFACY-AAA,Observation
KACY,2026-01-01 02:47,2026-01-01 06:00,FM010600 24011G21KT P6SM SCT045 OVC060,False,,11.0,240.0,21.0,6.01,[],"['SCT', 'OVC']","[4500, 6000]",,,,202601010247-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-01 02:47,2026-01-01 09:00,FM010900 26010G20KT P6SM VCSH BKN070,False,,10.0,260.0,20.0,6.01,['VCSH'],['BKN'],[7000],,,,202601010247-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-01 02:47,2026-01-01 12:00,FM011200 27014G25KT P6SM VCSH SCT028 BKN045,False,,14.0,270.0,25.0,6.01,['VCSH'],"['SCT', 'BKN']","[2800, 4500]",,,,202601010247-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-01 02:47,2026-01-01 14:00,FM011400 31015G27KT P6SM SCT250,False,,15.0,310.0,27.0,6.01,[],['SCT'],[25000],,,,202601010247-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-01 02:47,2026-01-01 23:00,FM012300 29009KT P6SM FEW250,False,,9.0,290.0,0.0,6.01,[],['FEW'],[25000],,,,202601010247-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-01 05:20,2026-01-01 05:20,0106/0206 22008KT P6SM VCSH OVC040,False,,8.0,220.0,0.0,6.01,['VCSH'],['OVC'],[4000],,,,202601010520-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-01 05:20,2026-01-01 11:00,FM011100 26013G22KT 3SM -SHSN SCT025 OVC035,False,,13.0,260.0,22.0,3.0,['-SHSN'],"['SCT', 'OVC']","[2500, 3500]",,,,202601010520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-01 05:20,2026-01-01 13:00,FM011300 30015G25KT P6SM VCSH OVC050,False,,15.0,300.0,25.0,6.01,['VCSH'],['OVC'],[5000],,,,202601010520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-01 05:20,2026-01-01 15:00,FM011500 30020G30KT P6SM SCT250,False,,20.0,300.0,30.0,6.01,[],['SCT'],[25000],,,,202601010520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-01 05:20,2026-01-01 22:00,FM012200 30010KT P6SM BKN250,False,,10.0,300.0,0.0,6.01,[],['BKN'],[25000],,,,202601010520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-01 05:20,2026-01-02 02:00,FM020200 28005KT P6SM OVC150,False,,5.0,280.0,0.0,6.01,[],['OVC'],[15000],,,,202601010520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-01 11:22,2026-01-01 11:22,0112/0212 33020G35KT 1SM -SHSN BKN015 OVC040,False,,20.0,330.0,35.0,1.0,['-SHSN'],"['BKN', 'OVC']","[1500, 4000]",,,,202601011122-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-01 11:22,2026-01-01 14:00,FM011400 30022G32KT P6SM BKN150,False,,22.0,300.0,32.0,6.01,[],['BKN'],[15000],,,,202601011122-KPHI-FTUS41-TAFACY,Forecast
