Temperature_C,Feels_Like_C,Humidity_Percent,Dew_Point_C,Pressure_hPa,Wind_Speed_mps,Wind_Direction_deg,Precipitation_mm,Cloud_Cover_Percent,Visibility_km,UV_Index,Latitude,Longitude,Weather_Class
21.65,55.0,87.1,11.31,995.45,40.0,303.3,6.08,82.0,20.0,2.7,-14.1641,75.0691,Rainy
19.25,19.25,89.9,15.91,1009.3,40.0,141.1,5.0,80.7,11.43,3.6,37.4344,77.8289,Rainy
16.36,16.36,90.0,14.72,1019.49,40.0,183.3,0.0,64.5,16.24,2.3,38.5736,35.1405,Cloudy
25.82,28.92,81.1,22.31,1024.38,40.0,337.4,0.67,79.0,8.0,8.1,25.4673,-8.9662,Humid
36.27,53.08,41.9,4.3,1023.38,40.0,126.5,0.0,63.4,8.58,14.8,-25.898,37.6901,Heatwave
9.85,4.82,93.9,1.07,1005.62,17.04,297.1,5.0,99.3,20.0,6.5,44.3715,96.4905,Rainy
14.07,14.07,59.2,6.22,1002.65,40.0,63.0,0.0,64.4,13.79,4.4,-37.5684,17.8695,Cloudy
5.25,-4.19,49.1,-4.56,1017.81,40.0,117.5,0.0,73.4,8.48,8.3,-19.6148,-62.9976,Cloudy
10.71,10.71,91.8,-4.18,958.03,15.0,175.9,58.66,96.6,4.66,3.5,45.4072,104.7645,Stormy
9.86,2.73,91.2,5.04,999.22,15.0,121.2,64.47,93.8,8.92,3.5,21.3729,-63.961,Stormy
18.96,18.96,76.2,14.67,1017.35,40.0,331.0,0.0,83.4,4.6,2.7,51.7545,-131.7876,Cloudy
14.01,14.01,87.8,14.01,993.95,18.18,188.6,5.0,80.8,13.98,2.8,38.4065,-78.5953,Rainy
33.16,36.55,83.9,30.06,1008.18,40.0,71.9,0.38,82.1,10.02,1.9,-27.5276,61.4358,Humid
16.05,16.05,91.3,8.64,988.63,15.0,105.6,10.0,96.1,16.81,1.8,28.9909,-86.3619,Stormy
39.83,51.22,36.7,-0.32,1013.59,40.0,159.0,0.0,31.5,4.04,14.8,-20.8192,-137.5012,Heatwave
43.19,44.82,39.8,17.3,1003.86,40.0,316.1,0.0,75.3,10.31,11.8,-21.6152,-11.2824,Heatwave
6.31,-2.6,29.9,-2.99,1017.12,11.18,1.9,0.0,4.7,13.57,3.0,14.4264,-14.0451,Dusty
14.93,14.93,83.0,2.46,1017.27,40.0,315.5,0.59,91.7,2.54,6.3,10.6609,-27.6502,Drizzle
8.6,0.84,81.7,-1.74,1007.18,40.0,213.7,6.8,96.6,13.74,3.3,-43.6949,24.6696,Rainy
19.23,19.23,80.5,5.9,1009.4,40.0,127.9,26.93,98.4,7.52,5.8,-9.937,49.2357,Rainy
11.43,11.43,86.8,-2.42,994.38,23.52,257.9,11.48,96.4,20.0,6.7,42.1859,150.8234,Stormy
40.76,42.76,43.2,10.53,1012.12,40.0,13.4,0.0,82.3,9.87,12.6,33.7062,133.4456,Hot
43.86,45.86,37.5,5.3,1014.64,40.0,18.9,0.0,69.2,9.93,11.6,37.7433,111.7789,Hot
-10.63,-11.81,88.5,-12.16,1017.47,3.93,311.1,15.53,86.5,9.4,0.1,-52.985,146.1723,Snowy
15.68,55.0,42.3,8.54,1020.82,40.0,229.0,0.0,18.8,12.95,11.8,43.0193,40.333,Clear
32.95,36.14,81.9,29.43,1005.49,40.0,353.0,0.4,86.6,8.24,5.4,-14.4134,-77.3344,Humid
19.96,19.96,17.4,8.81,1011.18,25.0,50.4,0.0,22.2,5.27,3.8,-41.08,147.5155,Dusty
26.86,30.02,81.6,23.44,1012.88,16.44,295.8,0.32,71.0,7.95,3.9,-20.4824,-2.7765,Humid
-0.11,15.17,30.5,-1.83,1032.65,40.0,259.3,0.0,9.7,17.75,12.0,44.0158,-74.4058,Clear
27.85,32.07,92.2,26.46,1017.76,40.0,258.0,0.81,78.4,10.64,1.6,-56.7349,-46.2418,Humid
32.7,21.44,20.7,6.47,1017.32,40.0,351.8,0.0,4.5,14.25,8.4,-28.3468,85.5727,Clear
-22.74,-25.58,52.2,-29.82,1035.2,5.68,104.8,0.0,23.6,10.01,6.8,39.4824,36.0299,Cold
-5.81,-8.4,62.2,-11.87,1008.36,5.17,328.7,0.0,61.9,9.02,4.7,-20.5453,44.731,Cold
15.17,15.17,63.4,8.26,1006.67,40.0,336.3,0.0,62.4,4.76,3.6,43.2295,158.4445,Cloudy
15.83,-3.61,59.1,-1.73,990.58,10.79,285.7,8.0,91.1,6.53,2.8,-25.6095,120.9635,Thunderstorm
7.09,-1.44,71.6,2.31,1000.43,40.0,25.5,0.0,86.9,11.88,4.0,24.9003,-45.8594,Cloudy
15.86,15.86,87.2,7.59,1007.05,40.0,227.6,5.0,90.8,9.27,3.1,46.1053,85.5581,Drizzle
40.76,49.33,35.5,4.1,1013.13,40.0,207.2,0.0,60.1,9.73,12.5,18.3289,47.5488,Heatwave
-0.87,15.93,57.1,-2.62,1015.95,40.0,76.7,0.0,26.2,14.09,11.5,-18.0161,30.1736,Clear
11.5,11.5,68.6,5.92,1012.04,40.0,260.2,0.0,66.7,4.23,3.6,-54.2813,164.1206,Cloudy
9.05,1.51,88.5,5.78,1009.21,40.0,53.7,5.0,89.5,15.94,3.6,7.3245,-153.6835,Rainy
12.73,12.73,85.6,5.25,996.69,40.0,190.8,22.52,86.2,10.76,3.3,46.6255,-31.6819,Rainy
4.69,-5.03,86.0,-0.86,1017.4,40.0,19.0,0.5,85.8,20.0,5.9,-0.0648,61.6309,Drizzle
2.16,-8.82,82.0,2.02,993.56,40.0,190.5,6.71,82.8,11.73,1.8,30.7446,161.2767,Rainy
24.82,28.71,88.8,22.85,1010.36,40.0,339.2,0.53,84.2,6.0,5.0,-15.6891,162.128,Humid
14.65,14.65,83.1,2.21,1027.08,40.0,147.1,0.56,71.5,6.53,4.7,-26.4449,59.9843,Drizzle
19.37,19.37,86.1,16.98,1019.79,40.0,102.6,0.0,86.3,7.16,4.9,16.3792,125.2985,Cloudy
30.28,32.28,19.6,4.2,1013.28,40.0,93.9,0.0,42.5,16.56,9.1,-46.3488,-64.8181,Hot
14.3,14.3,82.0,8.73,1018.65,40.0,170.1,1.82,73.3,14.3,1.0,36.7972,174.2824,Drizzle
37.43,39.43,22.5,7.58,1035.15,40.0,42.3,0.0,18.0,9.75,10.6,-4.5219,-85.8631,Hot
13.42,13.42,82.9,12.36,1008.93,40.0,224.5,16.62,82.9,3.79,2.2,18.7184,80.5681,Rainy
4.39,-5.48,92.0,-4.13,988.17,21.37,324.4,39.27,90.6,13.77,7.4,40.3527,-160.1841,Stormy
39.69,41.49,48.9,9.95,1014.65,40.0,85.5,0.0,24.4,20.0,13.7,-16.6735,133.0675,Heatwave
-5.8,-11.09,40.1,-17.17,1035.35,10.58,170.0,0.0,41.2,12.7,0.7,48.8413,-100.4047,Cold
16.54,16.54,34.3,0.73,1004.9,40.0,283.0,0.0,61.6,16.92,3.0,56.6256,65.7443,Cloudy
13.77,13.77,22.6,10.16,1010.12,8.0,40.6,0.0,6.3,14.42,1.0,-51.2451,-119.5573,Dusty
10.13,10.13,90.8,-2.33,1005.55,40.0,279.6,5.0,89.7,6.3,9.5,-12.2516,-142.5171,Rainy
33.31,1.01,53.7,-0.15,993.3,10.89,38.4,9.35,96.3,3.17,3.7,-4.5477,129.6644,Thunderstorm
-19.96,-23.31,65.0,-24.82,1002.35,6.71,18.9,0.0,39.8,17.6,2.9,-55.4222,152.4565,Cold
0.78,13.89,56.6,-5.71,1022.68,40.0,18.0,0.0,17.6,10.98,8.7,5.7684,-103.1606,Clear
-0.89,-0.89,97.0,-1.31,1013.38,4.75,233.3,0.0,94.9,0.1,7.0,-18.9124,161.0238,Foggy
18.0,18.0,90.1,6.95,1013.12,40.0,190.9,5.6,90.7,20.0,5.1,56.7325,154.4032,Rainy
12.53,6.6,46.6,-1.97,1049.08,5.39,113.1,0.0,1.2,17.65,9.2,-35.9863,-18.4218,Clear
16.76,16.76,93.6,-0.31,992.64,40.0,316.1,24.32,96.1,12.16,8.7,33.8897,169.5529,Rainy
15.88,15.88,82.1,11.38,997.52,40.0,174.6,1.58,75.1,8.92,3.9,39.7962,41.5948,Drizzle
-9.3,-19.77,38.8,-20.74,1033.21,20.93,11.2,2.06,44.0,18.52,1.5,-57.5256,49.3804,Cold
40.92,42.92,38.4,4.02,1010.56,40.0,146.6,10.13,93.2,0.0,9.1,31.5531,-146.4325,Hot
-0.07,-0.07,92.9,-1.07,1004.42,3.36,13.2,0.0,75.2,0.8,7.5,-13.9244,39.8999,Foggy
15.11,15.11,76.9,11.08,1019.77,40.0,215.8,0.0,79.1,12.44,4.8,-41.4954,-165.1261,Cloudy
24.01,55.0,93.0,10.86,975.52,15.0,1.2,10.0,98.9,4.03,1.3,44.4633,39.9547,Stormy
32.47,35.75,82.8,29.16,1005.1,40.0,120.5,0.98,87.2,10.9,7.9,12.3108,30.1826,Humid
17.54,-1.68,32.5,0.96,1023.38,40.0,155.7,0.0,8.0,13.76,8.0,15.739,66.9153,Clear
12.5,12.5,91.0,12.03,969.45,15.0,332.9,10.0,94.8,8.87,0.0,59.5801,-163.2543,Stormy
13.77,13.77,85.9,12.68,980.75,15.0,277.9,14.35,92.4,0.0,3.3,-27.2245,-62.116,Stormy
15.99,15.99,10.6,5.98,1014.52,19.0,70.8,0.0,25.3,6.63,5.5,16.3564,142.4933,Dusty
20.06,20.06,26.8,0.38,1011.77,40.0,296.3,0.0,81.8,20.0,6.0,37.0861,-11.047,Cloudy
14.46,14.46,48.6,3.75,1007.21,40.0,321.5,0.0,84.4,6.27,6.3,7.0878,-58.9336,Cloudy
-0.74,-0.74,92.1,-1.86,1020.62,2.59,298.1,0.0,83.9,0.27,3.6,-49.2309,-32.1623,Foggy
10.57,10.57,61.0,3.37,1020.73,40.0,37.9,0.0,77.8,11.86,5.2,34.8141,20.0653,Cloudy
12.1,12.1,88.5,0.33,954.82,15.0,116.4,22.01,92.3,8.95,4.7,3.5478,16.686,Stormy
40.15,42.15,30.5,3.62,1001.15,40.0,71.5,0.0,56.3,9.58,9.4,37.17,56.6237,Hot
29.29,33.89,96.1,28.59,1012.64,40.0,117.3,0.13,77.6,11.08,3.6,-27.5061,49.1653,Humid
-0.11,-4.54,55.3,-1.84,1028.91,40.0,276.9,0.0,20.3,12.54,10.9,8.9472,115.7749,Clear
18.08,18.08,82.5,8.43,1009.55,40.0,328.5,5.0,94.2,19.33,3.4,52.2554,130.9301,Rainy
14.16,14.16,61.9,6.97,1019.72,40.0,127.2,0.0,74.3,5.96,2.1,37.7753,66.2074,Cloudy
20.37,13.92,74.4,9.44,992.87,10.0,60.4,30.11,92.4,11.46,4.4,35.8937,39.9095,Thunderstorm
20.89,55.0,88.5,7.64,1027.82,40.0,49.6,3.91,71.3,13.73,4.4,-36.3986,165.9936,Drizzle
17.45,17.45,95.1,14.94,974.42,15.0,58.6,13.64,95.7,17.82,3.3,31.1762,33.9817,Stormy
9.78,2.6,84.4,4.24,999.13,40.0,112.2,5.33,91.2,8.8,4.9,3.7995,76.4873,Rainy
34.9,10.28,32.8,3.36,1029.24,40.0,262.9,0.0,18.1,19.3,7.9,-43.7314,95.5243,Clear
18.77,18.77,96.2,16.74,962.27,15.0,116.7,10.0,99.8,2.62,3.3,8.3113,0.8002,Stormy
37.77,46.36,37.7,1.84,1015.7,40.0,170.4,0.0,39.1,13.23,13.6,-2.802,-48.306,Heatwave
29.02,18.15,25.4,14.23,1020.29,40.0,240.0,0.0,19.0,11.05,11.4,-7.616,66.0462,Clear
-9.28,-11.46,53.9,-16.87,1019.79,4.36,181.9,0.0,48.9,10.49,2.9,-46.5775,-69.9232,Cold
21.94,55.0,65.6,15.18,1013.79,40.0,310.3,0.0,82.2,8.53,2.8,7.4529,38.7295,Cloudy
20.47,21.72,44.9,6.84,1023.7,40.0,321.8,0.0,29.6,12.19,9.8,-10.9015,142.5214,Clear
13.01,13.01,100.0,13.01,1020.11,40.0,217.4,0.0,85.9,13.01,0.6,-58.9207,23.9828,Cloudy
34.97,36.97,38.6,13.73,1006.59,40.0,315.8,0.0,50.3,4.27,14.7,-25.8141,143.4515,Hot
27.18,16.61,69.4,10.99,983.84,19.65,2.0,12.2,96.8,5.43,1.6,-44.2204,70.4724,Thunderstorm
